 # Key parameters for the calculation
 # TASK,INSTR,TEMP,WING,E_UNIT
 #    1,   3, 300,   0,   1
 # Q, deltaE, Total
    0.100000,   29.498988,   -1.000000
    0.100000,   29.598985,   -1.000000
    0.100000,   29.698981,   -1.000000
    0.100000,   29.798978,   -1.000000
    0.100000,   29.898974,   -1.000000

    0.150000,    0.099997,    0.067832
    0.150000,    0.199993,    0.072446
    0.150000,    0.299990,    0.077012
    0.150000,    0.399986,    0.081494
    0.150000,    0.499983,    0.085857
    0.150000,    0.599979,    0.090068
    0.150000,    0.699976,    0.094097
    0.150000,    0.799973,    0.097918
    0.150000,    0.899969,    0.101507
    0.150000,    0.999966,    0.104846
    0.150000,    1.099962,    0.107920
    0.150000,    1.199959,    0.110721
    0.150000,    1.299955,    0.113243
    0.150000,    1.399952,    0.115485
    0.150000,    1.499949,    0.117449
    0.150000,    1.599945,    0.119142
    0.150000,    1.699942,    0.120572
    0.150000,    1.799938,    0.121751
    0.150000,    1.899935,    0.122692
    0.150000,    1.999931,    0.123410
    0.150000,    2.099928,    0.123920
    0.150000,    2.199925,    0.124238
    0.150000,    2.299921,    0.124379
    0.150000,    2.399918,   -1.000000
    0.150000,    2.499914,   -1.000000
    0.150000,    2.599911,   -1.000000
    0.150000,    2.699907,   -1.000000
    0.150000,    2.799904,   -1.000000
    0.150000,    2.899901,   -1.000000
    0.150000,    2.999897,   -1.000000
    0.150000,    3.099894,   -1.000000
    0.150000,    3.199890,   -1.000000
    0.150000,    3.299887,   -1.000000
    0.150000,    3.399883,   -1.000000
    0.150000,    3.499880,   -1.000000
    0.150000,    3.599876,   -1.000000
    0.150000,    3.699873,   -1.000000
    0.150000,    3.799870,   -1.000000
    0.150000,    3.899866,   -1.000000
    0.150000,    3.999863,   -1.000000
    0.150000,    4.099859,   -1.000000
    0.150000,    4.199856,   -1.000000
    0.150000,    4.299852,   -1.000000
    0.150000,    4.399849,   -1.000000
    0.150000,    4.499846,   -1.000000
    0.150000,    4.599842,   -1.000000
    0.150000,    4.699839,   -1.000000
    0.150000,    4.799835,   -1.000000
    0.150000,    4.899832,   -1.000000
    0.150000,    4.999828,   -1.000000
    0.150000,    5.099825,   -1.000000
    0.150000,    5.199822,   -1.000000
    0.150000,    5.299818,   -1.000000
    0.150000,    5.399815,   -1.000000
    0.150000,    5.499811,   -1.000000
    0.150000,    5.599808,   -1.000000
    0.150000,    5.699804,   -1.000000
    0.150000,    5.799801,   -1.000000
    0.150000,    5.899798,   -1.000000
    0.150000,    5.999794,   -1.000000
    0.150000,    6.099791,   -1.000000
    0.150000,    6.199787,   -1.000000
    0.150000,    6.299784,   -1.000000
    0.150000,    6.399780,   -1.000000
    0.150000,    6.499777,   -1.000000
    0.150000,    6.599774,   -1.000000
    0.150000,    6.699770,   -1.000000
    0.150000,    6.799767,   -1.000000
    0.150000,    6.899763,   -1.000000
    0.150000,    6.999760,   -1.000000
    0.150000,    7.099756,   -1.000000
    0.150000,    7.199753,   -1.000000
    0.150000,    7.299750,   -1.000000
    0.150000,    7.399746,   -1.000000
    0.150000,    7.499743,   -1.000000
    0.150000,    7.599739,   -1.000000
    0.150000,    7.699736,   -1.000000
    0.150000,    7.799732,   -1.000000
    0.150000,    7.899729,   -1.000000
    0.150000,    7.999726,   -1.000000
    0.150000,    8.099722,   -1.000000
    0.150000,    8.199719,   -1.000000
    0.150000,    8.299715,   -1.000000
    0.150000,    8.399712,   -1.000000
    0.150000,    8.499708,   -1.000000
